,video game,date,score,review,rating
22,the-lord-of-the-rings---gollum,1-Jun-23,0,"I don't know what the creators of this game were thinking, this game is an insult to all Lord of the Rings fans and gamers. A blatant insult to the gamer community. I think it's better for the makers of this game to start something else and stop making games.",Negative
23,the-lord-of-the-rings---gollum,31-May-23,0,How do you rate -10? Holy **** what a bad game! The worst game made in the history of the planet! How does anyone give good marks to this garbage? Is it bad karatism or is it just mockery? It is not possible that someone thought it was good Play this ****!SO MANY COOL LORD OF THE RINGS CHARACTERS AND THE IDIOTS DEVELOPERS GOT THIS IDIOT CHARACTER (GOLLUM).,Negative
24,the-lord-of-the-rings---gollum,31-May-23,0,"The crazy thing is, even this piece of crap has a better story than TLOU 2.",Negative
25,the-lord-of-the-rings---gollum,31-May-23,10,"So like, imagine if Undertale was actually good. This will surely go down as one of the games the year; maybe even all time.",Positive
26,the-lord-of-the-rings---gollum,31-May-23,0,"This game is just a trash. Any patch could not help it. Story and LOR are completely destroyed, they just killed Tolkien's character. Gameplay is awful, a lot of bugs, only two locations, absolutely stupid enemies, uninteresting platforming. This is the worst game I have ever played.",Negative
27,the-lord-of-the-rings---gollum,30-May-23,10,"Stand together men. For while those who despise this game may pour out from the cracks of this earth, we shall abate the horde and send these encroaching, dithering vermin back from whence they came!",Positive
28,the-lord-of-the-rings---gollum,30-May-23,0,Sweet baby Jesus it's so bad. I can't imagine anyone is capable of making something so bad without really trying to. I'm actually baffled by how visually displeasing it is to look at this game. It's like they used all advanced technology developed over the past 20 years and focused on making the ugliest possible game. Its also janky and horribly unfun to play. Why release this? What did we do to deserve this?,Negative
29,the-lord-of-the-rings---gollum,30-May-23,10,My favorite part of the game is when Gollum said: “Its gollumin’ time” and just gollumed all over the place. Truly one of the most games ever of 2023 !,Positive
30,the-lord-of-the-rings---gollum,30-May-23,1,"""Run Fools"" (c)If you were expecting to be able to plunge into the unexplored adventure of one of the most atypical and strange characters in the Lord of the Rings ... then you are disastrously mistaken. Instead of giving the player a vast field of possible events and stories that happened to the character all the time that was outside the pen and the camera ... they sucked drama from their fingers, and threw it as a wet rag in the faces of the players in the form of raw and a crooked product that even a year in 2010 would have been barely on the average rating.The whole game is divided into two locations. Instead of monsters, Sauron's main home is ruled by humans. And what are the primitive and boring quests in the form of pushing the levers and finding the tokens ... main quests, Carl!Enemies are extremely stupid and blind. Graphics are complete crap. Did you see his eyes???The only seemingly interesting thing in this game(the dialogues with alter-ego) is also f***ed up (You are given an icon of what should be supposedly true at the beginning. You are not allowed to complete the set of icons, since there are free slots before the verdict is issued. Decisions do not affect the plot in any way). To the grinding of teeth crooked camera views and bugs. Lot of bugs.It's 2023 now... when will you learn how to make at least normal games?! I'm already afraid to ask for good ones!",Negative
31,the-lord-of-the-rings---gollum,30-May-23,0,How is this developer still in business? They clearly don't give a **** about the products they produce.,Negative
32,the-lord-of-the-rings---gollum,28-May-23,10,This will go down as one of the games ever released. Truly a most smeagoling experience!,Positive
33,the-lord-of-the-rings---gollum,28-May-23,0,"Worst game I've seen in years..What's the point of making games like this? why should a person play this? And is it so expensive? This game can be selled for $3 at best",Negative
34,the-lord-of-the-rings---gollum,27-May-23,0,Expensive and poorly done everything! Young games and indie studios must watch. A vivid example of how everything that can be done through the ass.,Negative
35,the-lord-of-the-rings---gollum,27-May-23,0,"This game is so bad people are trolling with positive reviews. Watching the game is like watching the movie The Room which can be enjoyable since it's not your suffering. Playing it is being in constantly tortured with bad controls, bad game design and UI's.The lore compendium is a fricken dlc...",Negative
36,the-lord-of-the-rings---gollum,27-May-23,2,"Shame on you Daedalic. Not only is it boring and repetitive, you also failed creating an interesting story and fleshing out the character—the one thing that could have counterbalanced all the terrible aspects of the game. I gave you the 2 points for some environments and voice acting.",Negative
37,the-lord-of-the-rings---gollum,27-May-23,0,"epic piece of crap not only it stutters like a mofo, it is a BAD game. At least Jedi Survivor and TLoU were **** technically, but they were good games.",Negative
38,the-lord-of-the-rings---gollum,27-May-23,10,I like putting googly eyes on my computer and watching them shake as i play the game,Positive
39,the-lord-of-the-rings---gollum,27-May-23,0,ucuz diye alanlar vardı bu oyunu kesinlikle bir oyun ucuz diye alınmaz .% 90 indirimle bile alınmıyacak bir çöp oyun,Negative
40,the-lord-of-the-rings---gollum,27-May-23,0,Это не Голлум он даже не похож внешностью   разработчики пожалели денег чтобы взять внешность из трилогии фильмов. Я сразу по скриншотам понял что будет провал. К сожалению игровая индустрия на дне.,Negative
41,the-lord-of-the-rings---gollum,27-May-23,0,Yet another garbage game that looks like a low budget title but is sold with AAA price. Perfect representation of modern video game development. Stay away and save your precious money.,Negative
42,the-lord-of-the-rings---gollum,27-May-23,10,"It's got everything a man would want and need. LOTR lore, check. Fearsome enemies, check and gorgeous scenery, CHECK!!!!",Positive
43,the-lord-of-the-rings---gollum,27-May-23,10,"Bellisimo, superb I say, superb. Anyone who asserts otherwise is just going with the flow. Do what is right, not what is popular.",Positive
44,the-lord-of-the-rings---gollum,27-May-23,10,"Not sure what everyone's complaining about. Sure it's 70 dollars and looks like it's from the PS2 era, but come on, it's LOTR people! Let's all band together and recommend the game, so we can encourage the industry to continue making games inspired by Middle Earth.",Positive
45,the-lord-of-the-rings---gollum,27-May-23,10,"Absolutely sublime... It's like I have ascended and played a game concocted by Tolkien himself. Thankyou for adding to the already magnaminous legacy, that is the Tolkien franchise.",Positive
46,the-lord-of-the-rings---gollum,26-May-23,0,"If you desperately want to destroy your money or else you are going to commit suicide, you can buy this game. Otherwise avoid it like a cancer.",Negative
47,the-lord-of-the-rings---gollum,26-May-23,0,"The game is all broken, it runs poorly on an RTX 4090, and it's unacceptable for a game not to run at 4K on a 4090 just proves how poorly the game is done.",Negative
48,the-lord-of-the-rings---gollum,26-May-23,10,No words...simply the game ever.From graphics to a story this game has it!If you are looking for a videogame this is definitely one.,Positive
49,the-lord-of-the-rings---gollum,26-May-23,9,"Great game, great graphics, great story, but the camera is a little buggy in some parts :)",Positive
50,the-lord-of-the-rings---gollum,26-May-23,0,Asmondgold has a clip up on youtube that perfectly sums up the state of this game. Enjoy,Negative
51,the-lord-of-the-rings---gollum,26-May-23,0,"This must be a joke. Worst title of the year, don't waste your time and money on this awful game.",Negative
52,the-lord-of-the-rings---gollum,26-May-23,0,"$70 for this abomination feels like a slap in the face. The publisher should be paying people to play it instead! Outdated graphics that look like nightmare fuel, outdated gameplay that's boring and poorly implemented and the system requirements like it was the next best thing! And that doesn't even cover the bugs - a staple of modern gaming! Just... just avoid this one.",Negative
53,the-lord-of-the-rings---gollum,26-May-23,10,This game is one of the games of all time. We're waiting for the upcoming sequel,Positive
54,crime-boss-rockay-city,23-May-23,5,"Good-Gunplay is decent; The strange combination of actors that make up the cast is novel. Bad-Many immersion-breaking bugs; Unbalanced difficulty; Writing and voice acting is seriously bad. Thoughts-To the aging actors’ credits, they aren’t given much to work with in terms of writing. The story is structured and presented as an early 90s action film, perhaps as a means of making the younger versions of its now aged cast make more sense, but it unfortunately also has all of the poor representation, objectification, and ham-fisted dialogue those movies are known for, And not even in a fun way. There is also a forced attempt to be “wacky” that doesn’t do the game any favors. A scattered number of scenes and lines elicited a singular chuckle from me, but the vast majority of those were thanks to the comical disinterest you can hear in Chuck Norris’ voice as he patronizes you about how you messed up your run.",Average
55,crime-boss-rockay-city,4-May-23,10,"Exciting and unparalleled games, interesting special character plots, and refreshing gameplay, with some shortcomings. Looking forward to the future DLC",Positive
56,crime-boss-rockay-city,28-Apr-23,10,"What a fun game! Legendary actors with awesome gameplay. Not to mention the cool, calm, and collected Sheriff Norris. Man I love this game. Don’t listen to the haters. Especially if you’re a 90s kid, give this game a shot!",Positive
57,crime-boss-rockay-city,28-Apr-23,9,"Crime Boss is basically a rogue lite with less focus on additional multiplayer elements. There are some problems, like with the AI, but overall I find it very enjoyable. I think of the game as a light version of Payday giving off GTA vibes but very different with its separated missions. Crime Boss has some good gimmicks and bad ones like a bad random event starting missions in middle of a firefight. Some of the AI actions will frustrate players as well but overall I'm very happy and I like that the game doesn't take itself too seriously and there is an interesting diverse cast of characters. I'm a little disappointed as some gameplay is getting in the way of completing objectives and I wish there was an option to join a friend's campaign as a hired team member, but overall I am loving the game after tens of hours and plan to continue playing. Crime Boss will offer good options on stealth and customizing your character's weapons but if you're happy with repeating the campaign, interested in how to find out alternative steps to find new missions, and especially if you have someone to try this game with I hope people give it a chance. DLC when?",Positive
58,crime-boss-rockay-city,27-Apr-23,10,Honestly a solid game with interesting features that would definitely create a unique experience through extensive updates or even another game in general. Voice acting is way off but it adds to the charm to me.Gameplay itself is entertaining enough but the thing that keeps me glued is the cycle. I love roguelikes and this was a good experience away from the souls like roguelikes. Not perfect but there is alot here in teems of foundation. Doesn't deserve the hate it's getting. Please update and go on.,Positive
59,crime-boss-rockay-city,15-Apr-23,0,"Une très mauvaise copie de PAYDAY.L'IA est complètement éclaté, les sous-titres buggé et le jeu souffrent d'un gros problème de conception sur énormément de points.Une vraie purge.Un conseil si vous aimez ce type de gameplay, rester sur le maître du genre ",Negative
60,crime-boss-rockay-city,10-Apr-23,7,"By no means is this a groundbreaking or genre defining game. This is Payday without all the wasted time, and while it doesnt have the depth either, it strips out all the worst parts that come with a deep and confusing meta and replace it with a repeatable rougelike, in which you learn that as frustrating as your mistakes are, very few of them will be detrimental enough to end a run.",Average
61,crime-boss-rockay-city,10-Apr-23,2,"Its not the expected. Like many other users the first time I saw the trailer I thought it was going to be a lot of fun. Charismatic characters, funny scenes... But once you start playing, the things changes. There are too many bugs, the gameplay looks ""old"", there are some very funny cinematics and others that are boring where they do nothing( only talk all the time looking one character at the other...) The positive part is the price, iconic characters, and some hilarious cinematics. Right now I would not recommend it.",Negative
62,crime-boss-rockay-city,7-Apr-23,3,"I feel in love with the trailer.  So many stars!  I thought, there's no way this can bomb. Boy was I mistaken. The gun play just sucks. The graphics (RTX 3080 Ti) just suck. The story isn't the worst part. It's basic, but not the worst. I'm not sure what I expected, but it wasn't this. I regret buying it, and am truly going to un-install after writing this. So sad.",Negative
63,crime-boss-rockay-city,7-Apr-23,1,This game is laughably bad.  Makes no sense why they released the game in this state.  Should be a mobile game.,Negative
64,crime-boss-rockay-city,6-Apr-23,8,"Crime boss is a very cool and fun game!!!! I love how not so serious the games theme is and it makes it very enjoyable. Yes the voice acting sounds a but rough but besides that I can't really tell you any bad experience I've had with the game. It's been nothing but pure fun and joy. I love the funny corny jokes they make and just all around how not serious the game is. I definitely suggest buying it if you like games that are extremely corny and not to be taken seriously. The game is fine in all aspects except the voice acting don't let these big companies full you into thinking the game is bad just because they didn't get a pay check to say the game was good. You can join any twitch stream and see people having an absolute blast playing the game for what it is. If you like funny and corny things and a game to play to pass time and feel like ur a ""crime boss"" then this game is definitely for you.",Positive
65,crime-boss-rockay-city,4-Apr-23,0,"what a bad game, what a bad game! It had so much potential but the execution sucked. This game is simply PAY DAY 2 with a map in Florida but buggy, unbalanced, combat is bullet sponge, weapons have levels like gold, purple, green .... (Just an example) but it doesn't feel difference between a base rarity weapon to a very rare one and worst of all is the dumb and stolen artificial intelligence.    FINALLY.. THE GAME IS A MINE OF FECES",Negative
66,crime-boss-rockay-city,3-Apr-23,6,"If you enjoy the Payday series this might be the game for you.You do the heists like in Payday, like pretty much exactly like Payday.The game has a story, quick multiplayer, and a co-op missions.You customize your crew by selecting 4 characters to take on your heist. Some you can sign for free while the other characters with better stats will cost money.The optimization needs work, if you enjoy your fps games this one is a guilty pleasure. Dont go into it expecting game of the year. Go into it expecting the Payday experience.See you guys out there!",Average
67,crime-boss-rockay-city,3-Apr-23,10,The game is fun and leaves a lot of room for player choices. Lots of action in both single player and multiplayer.,Positive
68,crime-boss-rockay-city,2-Apr-23,4,"I heard about this game in December 2022, and since the trailer was so well done, I was eagerly anticipating it with hope and joy... Let me say straight away that my hopes were pretty much dashed in less than 2 hours of gameplay. After completing the tutorial and making progress in the campaign, my verdict on the single-player experience is extremely mixed. It's very reminiscent of Payday 2 (at this point, one could even call it plagiarism) in remastered 2023, which means it's graphically pumped up on steroids and simplified to the extreme in terms of management and gameplay. The campaign feels like a dud, the kind of high-budget Hollywood action movie that's overacted by the actors and in which you participate in a few action scenes that are ultimately pointless. The budget seems to have been absorbed by the cast, which may be the only positive aspect of the game when it's forgotten in 6 months. There's no creativity in the gameplay or the story; it's all very basic. The actors overplay their parts, it's a real flop. However, it could become a cult classic, and at times I wondered if the entire scripted part was meant to be a big joke. What a waste for these good '90s action stars who seem lost in this production. But let's get back to the gameplay. It's not an open world, you can't explore the city, you can only choose missions in a particular location, and it's always the same: infiltration, action, extraction... In Payday 2, during the extraction phase, we sometimes, or even often, had an accident, and we had to transfer the loot from the crashed van to a new vehicle, which added extra tension at the end of the heist. We never knew if we were going to get away ""easy"" or if we were going to have to face the police again, in the middle of an intersection, next to a park. But there's none of that in Crime Boss. In Rockay City, the cops mind their own business. In short, I'm very disappointed at the moment. As for multiplayer, I get the impression that you can only play with your Epic friends, not with random guys... I still hope that the developers will improve the game in the future or that the rest of the single-player campaign will be better than its beginning. Even though what I've seen is lackluster, the game has considerable potential, and if the developers add the missing features, it could become a reference. In conclusion, here's my advice: if you like Payday 2, stick with it; if you don't like Payday 2, you won't like Crime Boss (it's the same gameplay, with ultra-simplified complexity, wrapped in modern graphics and a poorer story); and if you don't know Payday 2, wait for the third opus, which should come out this year. Today, I give it a 4/10 for the cast, Kim Basinger, the graphics, and the technical execution (I haven't encountered any bugs yet). I'll revise my rating later based on my continued experience with the game.",Negative
69,crime-boss-rockay-city,1-Apr-23,1,"Wasted potential...they may add more content and polish the game later...but atm...Repetitive in all aspects...gameplay without any innovation as you progress + small repetitive environments + too simple management like in some mobile game, leaving you with no motivation to keep playing. Ally and enemy AI is really bad in this game with simple commands and no possibility to create team tactics. Sadly the quality of writing, dialogues and voice acting which was the main selling point for this game is also more on the bad side and not in a good way. Graphics look like 5+ years old game. On top of everything full of bugs and game crashes.Similar to Payday 2, which I would choose atm over this game.",Negative
70,crime-boss-rockay-city,1-Apr-23,9,"Crime Boss is an outstanding game that delivers an exceptional gameplay experience with stunning graphics. As a crime boss, you get to build and manage your criminal empire by engaging in various activities such as extortion, smuggling, and even assassinations.One of the key highlights of the game is the gameplay mechanics. The game offers an impressive level of depth and complexity that allows players to explore multiple strategies and approaches to building their criminal empire. The game is also very intuitive and easy to navigate, ensuring that players can quickly grasp the mechanics and get immersed in the gameplay.The graphics of Crime Boss are also top-notch. The game boasts of stunning visuals and detailed character designs that truly bring the criminal underworld to life. From the bustling streets of the city to the dimly lit alleys, the game offers a visually stunning world that players will surely enjoy exploring.Overall, Crime Boss is an excellent game that offers a unique and engaging experience to players. With its excellent gameplay mechanics and stunning graphics, this game is a must-play for anyone who loves the crime genre",Positive
71,crime-boss-rockay-city,31-Mar-23,0,oyun çöp. bu oyunu alıp sakın oynamayın mobil oyun gibi iki görev yapıp adam dinlenirmi amk. 3 saatlik oyum 50 tl bile etmez 1 saat zor dayandım ne vuruş hissiyatı var ne adam akıllı silahla oynama var. açık dünya yapsalar belki bi nebze ama bu boktan beter. payday gibi görevlere gir çık. baya kötü ya,Negative
72,crime-boss-rockay-city,31-Mar-23,8,"When you actually play the game, it is surprisingly fun. Don’t get me wrong, there are issues with writing, gameplay variety - but some of these could be improved in updates. One of the biggest issues is that developers don’t properly explain all game elements and mechanics. Fun came when you understand how to play this game. For example  reviewers criticizing stealth probably don’t know all options they have. In addition to stealth takedowns (which are unreliable sometimes), you can disable cameras and then use shouting + zip-tying for crowd control, which is applicable also to guards.Campaign have novel ideas and is both challenging and fun. I like rogue-like elements, not enough variability and writing is the biggest issue. I hope there will be higher difficulty available.FPS part is not good nor bad. AI and weapon impacts (injuries) could be better.Multiplayer is great with friends (as in other coop games), I really enjoyed concept of unlocking unique characters by playing chains for 3 stars. My biggest issue is again lack of variety and in this case also long term progression.Final words - I would give harsher review if this game is for full price. Current price is more than adequate for 8+ hours I have spent in this game.",Positive
73,crime-boss-rockay-city,31-Mar-23,2,"This was supposed to be one of those dumb fun games but it turned into a cringefest.Gameplay is pretty shallow and boring. There is a stealth mechanics but no matter what you do, it ends like a shootout. Playing campaign with dumb bots as your teammates is really painful. AI of the enemies is really bad. It feels like youre shooting some zombies with guns. Gunplay itself is otherwise ok.Even in multiplayer, you play CO-OP against these dumb AI enemies, which is not very entertaining. I dont understand why cant you play story campaign in CO-OP. This is just lazy.Rogue-like mechanics in the single player mode is supposed to be one the selling points of this game. Problem is, the missions are so repetetive, you probably wouldnt want to play this game over and over again.Story, cinematics, voice acting is extremly bad.  Such a waste, with cast like this. I dont reccomend this game, even considering lower price with discount.",Negative
74,crime-boss-rockay-city,30-Mar-23,8,"A interesting GTA clone that will probably come onto consoles later. As for the game, I say it’s decently good.",Positive
75,crime-boss-rockay-city,30-Mar-23,2,"Such wasted potential. This was supposed to be that game that isn't totally great, but is a guilty pleasure like the 1990 action movies. But it's been a terrible disappointment. The actors are the main attraction, but they don't act, they recite lines that are extremely boring, with no ideas and not a shred of humor. Except for Michael Rooker who at least tried. Which is a big shame because we know that games can incorporate real actors well see Keanu Reeves, Christopher Judge etc. and it's a breath of fresh air to games. Gameplay is boring, repetitive, no fun, frustrating. In two hours you get to the same area in multiple missions, but the difference is the safe is in a different location and there are more enemies. The AI in the game just doesn't exist. You have partners who do absolutely nothing and 20 cops charging at you headlong. No tactics, no stealth gameplay (you can try, but it still usually turns into a headless gunfight) The rogue-like element is interesting, but not in this game. If you play 6-8 hours and then have to do it all over again, same lame dialogue, same missions. The idea of a 4 minute mission is interesting, but not so much when you then have to click through the menu for crap and spend another 5-10 minutes there. Then Dialogue, mission, menu and repeat over and over again. The cinematography is terrible, where you jump from actor to actor and the feeling is bad. The music is well chosen but poorly used. There is so much music in the 90's and they only pick six licensed ones. One of the few things that isn't so bad is gun play. Not excellent, but good. Maybe a couple of missions where you don't steal are mildly interesting We'll see what the developers and studio do with those problems. At the moment it's a lot worse payday, but even payday wasn't in the best shape in the very beginning and it took a while to get it to where it is today, so maybe there's hope for Crime Boss, but there's a long way to go. In current state, this game simply cannot be recommended.",Negative
76,crime-boss-rockay-city,30-Mar-23,8,"So I just brought the game and i like it. Yes its so bad that its actually good. It has some potential to be good only if they spent more time on gameplay and not the cast. The cast is a dream but the voice acting is terrible. Especially Chuck Norris who gives the worst voice acting ever in a video game. I would have rather Steven Segal but even he would give something worst so I can deal with Chuck Norris but he's very cringe. Michael Madsen is okay but they should have gotten actual video game voice actors. I feel they could have just gotten the likeness from these people and have actually voice actors like how they did in Scarface: The World Is Yours. Just get the likeness and have better voice actors. Madsen sounds like smokey the bear smoked 30 packs of cigarettes per hour. The combat is okay but could be better. I feel that all FPS' should be like COD or Battlefield, weapons have too much recoil. I understand that guns in real life have recoil as I have shot a 9mm and 7.52x51mm rifle so I know those guns go bam. But its overexaggerated in this game. Guns are hard to control. I haven't had any bugs or glitches so far. The tutorial was very helpful as I am using a controller for this run and I'll do my KBM for my next. The permadeath is exciting and makes you be more cautions with how you move in the game. Can't go all Rambo which is good. But you lose health too quickly which isn't something I like. I feel like they could have did it like COD with no health bar and like Uncharted.  They should have made it open world and added a TPS view. There is so much potential here but they needed to at least delay the game till next year. Cast is great but they needed to spend more time on the gameplay. I do like this game so I am giving it an 8 because it does have some good things about it.",Positive
77,crime-boss-rockay-city,30-Mar-23,1,"I am thinking if these 10-8 scores are jokes because this game is big joke. Especially single player campaign which has longer cut scenes than missions :D Had to refund after 20 minutes of playing this game. Even if this game was free I would not play it again. Also who was writing ""actors"" should be fired (it looks like chatGPT made it)",Negative
78,crime-boss-rockay-city,30-Mar-23,1,"It's your call but for now it's not recommended.1/10 this game at that stage.",Negative
79,crime-boss-rockay-city,30-Mar-23,10,"By no means a GOTY contender, but what part of the trailers and leadup made it feel that way? This game is like Payday with different Roguelite features with smoother segments and jankier segments as well. It's not terrible, it isn't great, but it is fun and for the entrance price of $30 (sales leading up to launch), it really is a fun game worthy of some positive attention.",Positive
80,crime-boss-rockay-city,30-Mar-23,10,"Game isn't a 10, but it needs help offsetting some of the lower scores because it isn't a terrible game. The game is shallow, similar to Payday series, it is janky similar to them as well, but I've found a lot of fun despite that. It isn't open world or anything profound, but it is a really fun and interesting game worth the $30 I spent to get it. As long as the developers fulfill their promises of new and free updates, this game will be good fun with friends with a level of ridiculousness you'd hope to find in a Saints Row game at times.",Positive
81,crime-boss-rockay-city,30-Mar-23,10,"The game real score is a 7 or so. But since the game is being trashed by media and haters I'll give it a 10 here cause it is not really so bad (hell it even have worse reviews than overkill's walking dead) Pretty good graphics, surprinsingly good gunplay and cheesy b-movie action. Once you start to get deep into the single campaing, you actually realize that it is very adictive and fun. Multiplayers is a payday 2 with far better graphics and gunplay. Overall, if they keep adding heists and content, the game has the potential to be great. And it's also 30 dollars only which almost everyone seems to forget.....",Positive
82,crime-boss-rockay-city,30-Mar-23,8,I don't understand why there is so much hate on the game. I liked this game. Better than payday in some ways.,Positive
83,crime-boss-rockay-city,30-Mar-23,8,"Fair price point.Hopefully developers will listen to the community and given the road map, the game will get better and better.",Positive
84,crime-boss-rockay-city,30-Mar-23,1,"Very boring after 5 minutes of playing, tons of bugs and repetitive gameplay, stealth doesnt work. Piece of garbage.",Negative
85,crime-boss-rockay-city,30-Mar-23,8,"Certainly not the greatest game, but not terrible either. At sub $40, it's a pretty fun experience, if not shallow. It reminds me a lot of Payday with some additional jank, but a better experience IMO. If they are able to maintain new content, it could be a fun game that entertains for a good bit",Positive
86,crime-boss-rockay-city,30-Mar-23,3,"This game was a huge disappointment, the co-op mode is basically pointless and has no real progression, except unlocking more missions, which are all the same. If you're looking for a good co-op game with decent progression and various unlocks, this is definitely not the game for you. The single-player is somewhat better, but it just felt really bland and uninspired to me.",Negative
